,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4
minor,8.081539079585694E-5,6.629980773055758E-4,7.215991461764009E-5,9.203029133124299E-4,3.5626157116050834E-4,3.244614750667579E-5,7.684103053241167E-5,3.491855370301426E-4,6.110217322099495E-6,1.7761894696831102E-5
minut,1.5902383350152493E-4,5.172325425788181E-5,0.0010342921095195079,6.148081703041545E-4,4.306458552489662E-5,3.244614750667579E-5,3.7429018098045685E-4,3.491855370301426E-4,4.338254298690641E-4,0.001261094523475008
miss,1.0688487169774627E-4,4.7021140234438E-6,6.219497402758503E-4,3.4750027017191337E-4,1.6051345513825102E-4,3.244614750667579E-5,5.973770438164908E-4,2.0164235236951896E-4,9.226428156370237E-4,1.7761894696831102E-5
missil,2.6069480901889334E-6,4.7021140234438E-6,1.0652177872127821E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,7.461016190405134E-4,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
mission,0.0016710537258111061,9.874439449231981E-5,1.0652177872127821E-4,4.2005527163637885E-5,1.6051345513825102E-4,3.244614750667579E-5,8.204639066525247E-4,2.5082341392306017E-4,4.338254298690641E-4,1.9538084166514214E-4
mistak,2.6069480901889334E-6,5.172325425788181E-5,3.4361864103638136E-6,1.947528986677756E-4,1.6051345513825102E-4,3.244614750667579E-5,2.50353034960438E-4,2.5082341392306017E-4,6.721239054309445E-5,1.7761894696831102E-5
mitchel,8.081539079585694E-5,4.7021140234438E-6,7.937590607940409E-4,3.818684287603444E-6,9.04356296022829E-4,3.244614750667579E-5,2.50353034960438E-4,4.9181061553541216E-6,6.110217322099495E-6,0.0010834755765066972
mix,2.6069480901889334E-6,2.868289554300718E-4,1.0652177872127821E-4,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,1.7599074734842672E-4,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
mobil,2.893712380109716E-4,1.927866749611958E-4,2.7833109923946884E-4,8.019237003967232E-5,2.3881270154715395E-4,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.110217322099495E-6,1.9538084166514214E-4
mod,2.893712380109716E-4,5.172325425788181E-5,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
model,5.50066047029865E-4,1.457655347267578E-4,3.779805051400195E-5,8.019237003967232E-5,8.221420872934809E-5,3.244614750667579E-5,7.684103053241167E-5,2.5082341392306017E-4,6.110217322099495E-6,1.7761894696831102E-5
moder,1.329543525996356E-4,4.278923761333858E-4,1.4088364282491633E-4,6.529950131801889E-4,3.5626157116050834E-4,3.244614750667579E-5,1.5120331814442295E-4,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
modern,6.022050088336436E-4,2.398078151956338E-4,3.4361864103638136E-6,1.5656605579174117E-4,4.306458552489662E-5,3.244614750667579E-5,1.7599074734842672E-4,3.000044754766014E-4,1.283145637640894E-4,1.7761894696831102E-5
moham,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,4.2005527163637885E-5,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,5.409916770889534E-5,4.338254298690641E-4,1.7761894696831102E-5
moment,3.675796807166396E-4,2.398078151956338E-4,2.7833109923946884E-4,1.947528986677756E-4,5.520096871827657E-4,3.244614750667579E-5,7.708890482445172E-4,3.491855370301426E-4,1.283145637640894E-4,1.7761894696831102E-5
momentum,1.5902383350152493E-4,4.7021140234438E-6,3.779805051400195E-5,1.5656605579174117E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,1.0328022926243655E-4,1.283145637640894E-4,1.7761894696831102E-5
