,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4
abandon,1.329543525996356E-4,1.927866749611958E-4,3.4361864103638136E-6,1.947528986677756E-4,1.9966307834270249E-4,3.244614750667579E-5,2.9992789336844554E-4,3.491855370301426E-4,3.116210834270742E-4,1.7761894696831102E-5
abba,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,0.001060954788840635,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,1.283145637640894E-4,7.282376825700751E-4
abc,2.6069480901889334E-6,5.172325425788181E-5,3.4361864103638136E-6,3.818684287603444E-6,8.221420872934809E-5,3.5690762257343373E-4,1.7599074734842672E-4,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
abedin,2.6069480901889334E-6,4.7021140234438E-6,0.001343548886452251,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,6.110217322099495E-6,3.7299978863345314E-4
abil,3.9364916161852893E-4,1.457655347267578E-4,3.4361864103638136E-6,3.4750027017191337E-4,1.9966307834270249E-4,3.244614750667579E-5,4.4865246859246817E-4,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
abl,8.62899817852537E-4,5.219346566022619E-4,4.8450228386129763E-4,6.529950131801889E-4,3.9541119436495986E-4,3.244614750667579E-5,5.230147562044795E-4,1.0328022926243655E-4,2.5051891020607927E-4,1.7761894696831102E-5
abort,1.8509331440341427E-4,3.808712358989478E-4,3.4361864103638136E-6,0.0010730502848165678,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,1.283145637640894E-4,1.7761894696831102E-5
abraham,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,1.1837921291570675E-4,1.6051345513825102E-4,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
abroad,4.4578812342230766E-4,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,2.3881270154715395E-4,3.244614750667579E-5,2.50353034960438E-4,1.5246129081597775E-4,1.283145637640894E-4,1.7761894696831102E-5
absenc,2.867642899207827E-5,1.927866749611958E-4,3.4361864103638136E-6,8.019237003967232E-5,1.2136383193379956E-4,3.244614750667579E-5,2.0077817655243048E-4,1.0328022926243655E-4,1.283145637640894E-4,1.7761894696831102E-5
absolut,2.867642899207827E-5,2.868289554300718E-4,1.7524550692855445E-4,8.019237003967232E-5,5.128600639783143E-4,3.244614750667579E-5,2.50353034960438E-4,2.0164235236951896E-4,3.116210834270742E-4,1.7761894696831102E-5
abu,2.867642899207827E-5,4.7021140234438E-6,1.0652177872127821E-4,3.818684287603444E-6,3.171119479560569E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,3.7272325664806916E-4,1.7761894696831102E-5
abus,2.111627953053036E-4,9.874439449231981E-5,3.779805051400195E-5,8.019237003967232E-5,2.779623247516054E-4,3.244614750667579E-5,7.684103053241167E-5,2.0164235236951896E-4,3.7272325664806916E-4,1.7761894696831102E-5
academ,1.5902383350152493E-4,3.338500956645098E-4,7.215991461764009E-5,3.818684287603444E-6,2.3881270154715395E-4,3.244614750667579E-5,2.4787429204003767E-6,3.491855370301426E-4,6.110217322099495E-6,1.7761894696831102E-5
academi,8.081539079585694E-5,5.172325425788181E-5,3.4361864103638136E-6,3.818684287603444E-6,1.9966307834270249E-4,3.244614750667579E-5,1.0162845973641542E-4,5.459097832443074E-4,6.110217322099495E-6,1.7761894696831102E-5
acceler,1.329543525996356E-4,4.7021140234438E-6,3.4361864103638136E-6,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
accept,4.4578812342230766E-4,2.398078151956338E-4,2.4396923513583072E-4,3.4750027017191337E-4,0.001961396122543019,3.244614750667579E-5,1.264158889404192E-4,3.000044754766014E-4,3.116210834270742E-4,1.9538084166514214E-4
access,8.107608560487584E-4,5.172325425788181E-5,8.968446531049553E-4,1.947528986677756E-4,3.9541119436495986E-4,3.244614750667579E-5,1.264158889404192E-4,5.459097832443074E-4,3.116210834270742E-4,1.7761894696831102E-5
accommod,1.5902383350152493E-4,4.7021140234438E-6,3.4361864103638136E-6,8.019237003967232E-5,4.306458552489662E-5,3.244614750667579E-5,1.264158889404192E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
accompani,2.6069480901889334E-6,4.7021140234438E-6,1.7524550692855445E-4,3.818684287603444E-6,8.221420872934809E-5,3.244614750667579E-5,5.205360132840791E-5,5.409916770889534E-5,2.5051891020607927E-4,1.7761894696831102E-5
accomplish,4.4578812342230766E-4,4.7021140234438E-6,7.215991461764009E-5,2.3293974154381004E-4,2.3881270154715395E-4,3.244614750667579E-5,2.751404641644418E-4,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
accord,6.022050088336436E-4,0.0013212940405877079,1.7524550692855445E-4,0.0012257976563207055,0.0016873487601118584,3.244614750667579E-5,0.0011179130571005698,0.0012836257065474256,0.001900277587172943,1.7761894696831102E-5
accordingli,8.081539079585694E-5,1.457655347267578E-4,1.0652177872127821E-4,8.019237003967232E-5,4.306458552489662E-5,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
account,8.107608560487584E-4,4.7021140234438E-6,1.7524550692855445E-4,2.711265844198445E-4,3.9541119436495986E-4,3.244614750667579E-5,5.973770438164908E-4,0.0010377203987797195,1.8941673698508435E-4,1.7761894696831102E-5
accur,1.0688487169774627E-4,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,8.221420872934809E-5,3.244614750667579E-5,7.684103053241167E-5,1.5246129081597775E-4,6.721239054309445E-5,1.7761894696831102E-5
accus,8.081539079585694E-5,8.51082638243328E-4,3.4361864103638136E-6,1.1837921291570675E-4,3.171119479560569E-4,3.244614750667579E-5,5.478021854084833E-4,3.491855370301426E-4,0.0011059493353000086,1.7761894696831102E-5
achiev,0.0010453861841657624,2.868289554300718E-4,2.4396923513583072E-4,2.711265844198445E-4,8.260570496139261E-4,3.244614750667579E-5,4.4865246859246817E-4,4.47547660137225E-4,6.110217322099495E-6,1.7761894696831102E-5
acknowledg,8.081539079585694E-5,9.874439449231981E-5,1.4088364282491633E-4,3.0931342729587893E-4,2.3881270154715395E-4,3.244614750667579E-5,3.9907761018446064E-4,3.491855370301426E-4,1.8941673698508435E-4,1.7761894696831102E-5
acorn,2.6069480901889334E-6,6.629980773055758E-4,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
across,9.671777414600943E-4,0.00103916719918108,2.096073710321926E-4,8.057423846843266E-4,1.6051345513825102E-4,3.244614750667579E-5,4.7343989779647196E-4,6.442719063513899E-4,0.0011670515085210036,1.7761894696831102E-5
act,7.325524133430904E-4,3.338500956645098E-4,3.12692963343107E-4,9.96676599064499E-4,9.82655542431732E-4,3.244614750667579E-5,4.982273270004757E-4,3.491855370301426E-4,9.226428156370237E-4,1.7761894696831102E-5
action,0.0014624978785959916,5.689557968366998E-4,3.12692963343107E-4,5.384344845520855E-4,0.0014916006440896011,3.244614750667579E-5,2.50353034960438E-4,7.918150910120135E-4,4.94927603090059E-4,1.7761894696831102E-5
activ,0.0014624978785959916,3.808712358989478E-4,3.779805051400195E-5,3.856871130479478E-4,9.04356296022829E-4,3.244614750667579E-5,3.9907761018446064E-4,4.967287216907662E-4,4.94927603090059E-4,1.7761894696831102E-5
activist,8.081539079585694E-5,0.001791505442932088,3.4361864103638136E-6,1.1837921291570675E-4,3.5626157116050834E-4,3.244614750667579E-5,1.264158889404192E-4,2.5082341392306017E-4,4.94927603090059E-4,1.9538084166514214E-4
actor,2.6330175710908226E-4,5.172325425788181E-5,3.779805051400195E-5,4.2005527163637885E-5,8.221420872934809E-5,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
actual,2.3723227620719292E-4,7.100192175400139E-4,4.5014041975765954E-4,7.675555418082922E-4,4.3456081756941133E-4,3.244614750667579E-5,6.965267606325058E-4,4.967287216907662E-4,2.5051891020607927E-4,1.7761894696831102E-5
ad,4.7185760432419697E-4,4.749135163678238E-4,1.4088364282491633E-4,0.0013785450278248432,3.5626157116050834E-4,3.244614750667579E-5,4.7343989779647196E-4,0.001332806768100967,9.837449888580188E-4,1.9538084166514214E-4
adam,5.4745909893967604E-5,9.874439449231981E-5,3.4705482744674514E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,4.47547660137225E-4,6.721239054309445E-5,1.7761894696831102E-5
adapt,2.111627953053036E-4,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,1.7599074734842672E-4,2.0164235236951896E-4,6.110217322099495E-6,1.7761894696831102E-5
add,1.329543525996356E-4,1.927866749611958E-4,0.001068653973623146,2.3293974154381004E-4,1.2136383193379956E-4,3.244614750667579E-5,2.751404641644418E-4,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
addit,0.001253942031380877,1.927866749611958E-4,7.593971966904028E-4,5.384344845520855E-4,8.221420872934809E-5,3.244614750667579E-5,5.478021854084833E-4,6.93452967904931E-4,4.94927603090059E-4,1.7761894696831102E-5
address,0.001253942031380877,3.338500956645098E-4,0.0011717395659340604,1.1837921291570675E-4,9.435059192272805E-4,3.244614750667579E-5,5.72589614612487E-4,6.442719063513899E-4,3.7272325664806916E-4,1.9538084166514214E-4
adequ,2.6330175710908226E-4,4.7021140234438E-6,3.4361864103638136E-6,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,1.0328022926243655E-4,1.283145637640894E-4,1.7761894696831102E-5
adjust,1.329543525996356E-4,4.7021140234438E-6,1.4088364282491633E-4,4.2005527163637885E-5,1.6051345513825102E-4,3.244614750667579E-5,2.7266172124404146E-5,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
administ,1.0688487169774627E-4,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,2.3881270154715395E-4,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,6.721239054309445E-5,5.506187356017642E-4
administr,0.0017753316494186636,0.001368315180822146,2.096073710321926E-4,0.002142281885345532,0.0026660893402231448,3.244614750667579E-5,0.004315491424417056,7.426340294584723E-4,1.8941673698508435E-4,1.7761894696831102E-5
admir,5.4745909893967604E-5,9.874439449231981E-5,7.215991461764009E-5,4.2005527163637885E-5,2.3881270154715395E-4,3.244614750667579E-5,4.7343989779647196E-4,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
admit,2.6069480901889334E-6,1.927866749611958E-4,3.4361864103638136E-6,2.3293974154381004E-4,8.221420872934809E-5,3.244614750667579E-5,4.7343989779647196E-4,1.5246129081597775E-4,6.110217322099495E-6,1.7761894696831102E-5
adopt,2.6330175710908226E-4,1.457655347267578E-4,1.0652177872127821E-4,1.1837921291570675E-4,4.306458552489662E-5,3.244614750667579E-5,1.264158889404192E-4,2.5082341392306017E-4,9.837449888580188E-4,1.7761894696831102E-5
adult,2.6069480901889334E-6,4.749135163678238E-4,3.4361864103638136E-6,8.019237003967232E-5,1.2136383193379956E-4,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
advanc,0.0010453861841657624,5.172325425788181E-5,5.188641479649358E-4,3.4750027017191337E-4,4.737104407738628E-4,3.244614750667579E-5,2.50353034960438E-4,1.0328022926243655E-4,6.721239054309445E-5,1.7761894696831102E-5
advantag,3.675796807166396E-4,5.219346566022619E-4,3.4361864103638136E-6,3.0931342729587893E-4,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,1.5246129081597775E-4,1.283145637640894E-4,1.7761894696831102E-5
adversari,1.0688487169774627E-4,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,2.3881270154715395E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
advertis,8.081539079585694E-5,4.749135163678238E-4,3.4361864103638136E-6,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,1.264158889404192E-4,2.5082341392306017E-4,6.110217322099495E-6,1.7761894696831102E-5
advic,1.8509331440341427E-4,9.874439449231981E-5,3.12692963343107E-4,1.947528986677756E-4,3.9149623204451475E-6,3.244614750667579E-5,3.7429018098045685E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
advis,2.893712380109716E-4,7.570403577744519E-4,5.188641479649358E-4,8.439292275603611E-4,3.171119479560569E-4,3.244614750667579E-5,0.002332497088096754,4.47547660137225E-4,1.8941673698508435E-4,1.7761894696831102E-5
advisor,2.111627953053036E-4,2.868289554300718E-4,7.215991461764009E-5,3.0931342729587893E-4,4.306458552489662E-5,3.244614750667579E-5,2.50353034960438E-4,4.9181061553541216E-6,6.721239054309445E-5,9.058566295383861E-4
advisori,8.081539079585694E-5,5.172325425788181E-5,3.779805051400195E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,2.0164235236951896E-4,6.110217322099495E-6,1.7761894696831102E-5
advoc,3.4151019981475025E-4,4.7021140234438E-6,3.4361864103638136E-6,5.766213274281199E-4,5.520096871827657E-4,3.244614750667579E-5,1.5120331814442295E-4,1.5246129081597775E-4,6.721239054309445E-5,1.7761894696831102E-5
advocaci,1.329543525996356E-4,3.808712358989478E-4,3.4361864103638136E-6,1.5656605579174117E-4,4.306458552489662E-5,3.244614750667579E-5,2.4787429204003767E-6,3.983665985836838E-4,6.110217322099495E-6,1.7761894696831102E-5
afb,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,5.506187356017642E-4
affair,9.671777414600943E-4,1.927866749611958E-4,2.096073710321926E-4,1.947528986677756E-4,2.779623247516054E-4,3.244614750667579E-5,7.956764774485209E-4,2.0164235236951896E-4,3.7272325664806916E-4,0.003925378727999674
affect,4.197186425204183E-4,1.457655347267578E-4,1.0652177872127821E-4,1.5656605579174117E-4,1.6051345513825102E-4,3.244614750667579E-5,7.684103053241167E-5,2.0164235236951896E-4,2.5051891020607927E-4,1.7761894696831102E-5
affili,8.081539079585694E-5,2.868289554300718E-4,3.4361864103638136E-6,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,2.5051891020607927E-4,1.7761894696831102E-5
affirm,2.6069480901889334E-6,5.172325425788181E-5,1.4088364282491633E-4,3.818684287603444E-6,1.2136383193379956E-4,3.244614750667579E-5,7.684103053241167E-5,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
afford,1.0688487169774627E-4,4.7021140234438E-6,3.4361864103638136E-6,5.766213274281199E-4,4.306458552489662E-5,3.244614750667579E-5,2.4787429204003767E-6,1.5246129081597775E-4,6.110217322099495E-6,1.7761894696831102E-5
afghan,0.0041215849305887035,4.7021140234438E-6,1.0652177872127821E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,0.001217062773916585,4.9181061553541216E-6,5.56029776311054E-4,1.7761894696831102E-5
afghanistan,0.003965168045177368,2.398078151956338E-4,1.7524550692855445E-4,2.711265844198445E-4,3.171119479560569E-4,3.244614750667579E-5,0.004067617132377018,2.0164235236951896E-4,9.226428156370237E-4,1.7761894696831102E-5
afp,2.6069480901889334E-6,4.7021140234438E-6,7.215991461764009E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,3.116210834270742E-4,1.7761894696831102E-5
africa,0.0011235946268714303,5.172325425788181E-5,3.8141669155038324E-4,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,6.221644730204945E-4,2.5082341392306017E-4,3.116210834270742E-4,1.9538084166514214E-4
african,5.761355279317543E-4,1.927866749611958E-4,3.779805051400195E-5,3.818684287603444E-6,8.221420872934809E-5,3.244614750667579E-5,1.0162845973641542E-4,1.5246129081597775E-4,1.283145637640894E-4,1.7761894696831102E-5
aftermath,8.081539079585694E-5,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,2.779623247516054E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
afternoon,2.6069480901889334E-6,4.7021140234438E-6,0.00209950989673229,4.6206079880001667E-4,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,5.409916770889534E-5,6.110217322099495E-6,3.7299978863345314E-4
afterward,2.6069480901889334E-6,1.927866749611958E-4,3.779805051400195E-5,1.1837921291570675E-4,1.2136383193379956E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,3.7272325664806916E-4,1.7761894696831102E-5
age,1.5902383350152493E-4,2.868289554300718E-4,3.4361864103638136E-6,1.947528986677756E-4,3.9541119436495986E-4,3.244614750667579E-5,1.264158889404192E-4,3.983665985836838E-4,1.8941673698508435E-4,1.7761894696831102E-5
agenc,0.0011235946268714303,5.172325425788181E-5,1.0652177872127821E-4,3.818684287603444E-6,1.6051345513825102E-4,3.244614750667579E-5,5.973770438164908E-4,3.491855370301426E-4,3.116210834270742E-4,1.7761894696831102E-5
agenda,4.197186425204183E-4,6.629980773055758E-4,4.5014041975765954E-4,7.293686989322578E-4,4.737104407738628E-4,3.244614750667579E-5,5.230147562044795E-4,2.5082341392306017E-4,6.110217322099495E-6,1.7761894696831102E-5
agent,5.4745909893967604E-5,3.338500956645098E-4,3.4361864103638136E-6,3.818684287603444E-6,2.3881270154715395E-4,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,1.8941673698508435E-4,1.7761894696831102E-5
aggress,3.4151019981475025E-4,5.172325425788181E-5,7.215991461764009E-5,1.1837921291570675E-4,2.3881270154715395E-4,3.244614750667579E-5,2.7266172124404146E-5,4.967287216907662E-4,1.283145637640894E-4,1.7761894696831102E-5
ago,2.6330175710908226E-4,6.159769370711379E-4,4.8450228386129763E-4,6.148081703041545E-4,7.869074264094746E-4,3.244614750667579E-5,7.213141898365096E-4,9.885393372261785E-4,0.0014725623746259784,1.7761894696831102E-5
agre,8.889692987544263E-4,1.457655347267578E-4,0.001343548886452251,4.2387395592398224E-4,0.0014916006440896011,3.244614750667579E-5,9.196136234685397E-4,4.47547660137225E-4,3.116210834270742E-4,1.7761894696831102E-5
agreement,9.671777414600943E-4,1.927866749611958E-4,3.8141669155038324E-4,2.711265844198445E-4,7.869074264094746E-4,3.244614750667579E-5,3.7429018098045685E-4,0.0021197037529576265,0.013631894845603973,1.9538084166514214E-4
agricultur,0.0013582199549884344,5.172325425788181E-5,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,1.5246129081597775E-4,6.110217322099495E-6,1.7761894696831102E-5
ahead,2.3723227620719292E-4,2.868289554300718E-4,7.593971966904028E-4,3.0931342729587893E-4,2.779623247516054E-4,3.244614750667579E-5,2.9992789336844554E-4,2.5082341392306017E-4,6.110217322099495E-6,1.7761894696831102E-5
ahmadinejad,2.6069480901889334E-6,0.001697463162463212,3.4361864103638136E-6,3.818684287603444E-6,3.171119479560569E-4,3.244614750667579E-5,2.7266172124404146E-5,1.5246129081597775E-4,6.721239054309445E-5,1.7761894696831102E-5
aid,0.0011235946268714303,1.457655347267578E-4,2.7833109923946884E-4,0.0022950292568496697,2.779623247516054E-4,3.244614750667579E-5,0.0012914250615285961,5.459097832443074E-4,0.0016558688942889632,1.9538084166514214E-4
aim,4.197186425204183E-4,1.927866749611958E-4,3.12692963343107E-4,3.818684287603444E-6,2.779623247516054E-4,3.244614750667579E-5,2.50353034960438E-4,3.491855370301426E-4,6.110217322099495E-6,1.9538084166514214E-4
aipac,2.867642899207827E-5,4.7021140234438E-6,7.215991461764009E-5,3.818684287603444E-6,5.520096871827657E-4,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
air,3.1544071891286094E-4,9.874439449231981E-5,2.096073710321926E-4,3.0931342729587893E-4,1.9966307834270249E-4,3.244614750667579E-5,3.7429018098045685E-4,3.000044754766014E-4,7.393362959740388E-4,5.506187356017642E-4
aircraft,2.867642899207827E-5,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,3.116210834270742E-4,3.7299978863345314E-4
airport,2.867642899207827E-5,4.7021140234438E-6,4.157785556540214E-4,8.019237003967232E-5,4.306458552489662E-5,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,3.116210834270742E-4,0.0032149029401264298
airway,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.9538084166514214E-4
aisl,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,3.856871130479478E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
al,4.197186425204183E-4,1.457655347267578E-4,2.7833109923946884E-4,2.711265844198445E-4,2.3881270154715395E-4,3.244614750667579E-5,2.751404641644418E-4,4.9181061553541216E-6,0.0011059493353000086,5.506187356017642E-4
alarm,2.6069480901889334E-6,9.874439449231981E-5,7.215991461764009E-5,3.818684287603444E-6,8.221420872934809E-5,3.244614750667579E-5,7.684103053241167E-5,1.5246129081597775E-4,6.110217322099495E-6,1.7761894696831102E-5
albright,2.867642899207827E-5,4.7021140234438E-6,1.4088364282491633E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,1.7599074734842672E-4,4.9181061553541216E-6,6.110217322099495E-6,0.00161633241741163
alert,5.4745909893967604E-5,4.7021140234438E-6,1.4088364282491633E-4,1.947528986677756E-4,4.306458552489662E-5,3.5690762257343373E-4,2.4787429204003767E-6,4.9181061553541216E-6,1.8941673698508435E-4,1.7761894696831102E-5
alexand,2.6069480901889334E-6,2.868289554300718E-4,2.4396923513583072E-4,8.057423846843266E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
ali,8.081539079585694E-5,4.7021140234438E-6,3.779805051400195E-5,4.2005527163637885E-5,1.2136383193379956E-4,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
alien,5.4745909893967604E-5,1.927866749611958E-4,3.4361864103638136E-6,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,1.264158889404192E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
alik,5.4745909893967604E-5,4.7021140234438E-6,3.4361864103638136E-6,1.1837921291570675E-4,1.2136383193379956E-4,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,1.283145637640894E-4,1.7761894696831102E-5
alleg,1.5902383350152493E-4,1.457655347267578E-4,3.4361864103638136E-6,4.2005527163637885E-5,3.9149623204451475E-6,3.244614750667579E-5,2.50353034960438E-4,3.491855370301426E-4,0.0011059493353000086,1.7761894696831102E-5
alli,9.932472223619837E-4,6.629980773055758E-4,7.215991461764009E-5,1.947528986677756E-4,7.869074264094746E-4,3.244614750667579E-5,9.691884818765473E-4,2.0164235236951896E-4,1.8941673698508435E-4,1.7761894696831102E-5
allianc,3.1544071891286094E-4,2.398078151956338E-4,3.779805051400195E-5,1.1837921291570675E-4,1.6051345513825102E-4,3.244614750667579E-5,2.0077817655243048E-4,2.5082341392306017E-4,6.721239054309445E-5,1.7761894696831102E-5
alloc,1.5902383350152493E-4,4.7021140234438E-6,3.779805051400195E-5,1.5656605579174117E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
allow,0.0010714556650676516,2.398078151956338E-4,1.4088364282491633E-4,0.0013021713420727744,0.0011392540352495378,3.244614750667579E-5,8.204639066525247E-4,8.409961525655548E-4,2.5051891020607927E-4,1.7761894696831102E-5
almost,1.8509331440341427E-4,5.219346566022619E-4,2.096073710321926E-4,8.057423846843266E-4,4.3456081756941133E-4,3.244614750667579E-5,8.204639066525247E-4,7.918150910120135E-4,5.56029776311054E-4,1.7761894696831102E-5
alon,2.6330175710908226E-4,4.7021140234438E-6,1.0652177872127821E-4,2.3293974154381004E-4,3.5626157116050834E-4,3.244614750667579E-5,2.2556560575643424E-4,3.491855370301426E-4,1.8941673698508435E-4,1.7761894696831102E-5
along,2.6330175710908226E-4,3.338500956645098E-4,5.188641479649358E-4,5.384344845520855E-4,3.9541119436495986E-4,3.244614750667579E-5,3.4950275177645306E-4,3.491855370301426E-4,0.0013503580281839884,1.7761894696831102E-5
alongsid,5.4745909893967604E-5,9.874439449231981E-5,3.779805051400195E-5,4.2005527163637885E-5,4.306458552489662E-5,3.244614750667579E-5,5.205360132840791E-5,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
alreadi,9.41108260558205E-4,3.338500956645098E-4,8.968446531049553E-4,8.439292275603611E-4,6.303089335916687E-4,3.244614750667579E-5,4.982273270004757E-4,3.983665985836838E-4,1.8941673698508435E-4,1.7761894696831102E-5
also,0.004304071296901929,0.002543843686683096,0.006978894599448905,0.0031733266429984615,0.0024311916009964363,3.244614750667579E-5,0.003175269681032882,0.003742678784224486,0.002694605839045877,1.7761894696831102E-5
alter,2.6069480901889334E-6,1.457655347267578E-4,3.779805051400195E-5,4.2005527163637885E-5,1.6051345513825102E-4,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
altern,1.8509331440341427E-4,5.172325425788181E-5,3.8141669155038324E-4,2.3293974154381004E-4,2.3881270154715395E-4,3.244614750667579E-5,1.5120331814442295E-4,4.47547660137225E-4,6.110217322099495E-6,1.9538084166514214E-4
although,4.197186425204183E-4,2.868289554300718E-4,3.4705482744674514E-4,6.148081703041545E-4,3.171119479560569E-4,3.244614750667579E-5,5.973770438164908E-4,3.000044754766014E-4,3.116210834270742E-4,1.7761894696831102E-5
alway,5.50066047029865E-4,5.172325425788181E-5,7.593971966904028E-4,6.529950131801889E-4,6.303089335916687E-4,3.244614750667579E-5,5.973770438164908E-4,8.409961525655548E-4,2.5051891020607927E-4,1.7761894696831102E-5
am,2.6069480901889334E-6,4.7021140234438E-6,4.8450228386129763E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
amaz,1.3060809931846555E-4,4.7491351636782385E-5,1.7215293915922705E-4,1.913160828089325E-4,1.1784036584539892E-4,3.2446147506675794E-6,2.4787429204003767E-7,4.918106155354121E-7,6.110217322099495E-7,1.7761894696831101E-6
amazon,2.6069480901889334E-6,6.629980773055758E-4,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
