,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6
episod,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.0315164656408356E-5,6.86318077012002E-5,0.0013255237176667601,0.002641263371313319,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
equal,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.9885123896153723E-4,2.9736637761021596E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
equip,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,8.244918323269057E-5,2.2874600663751125E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
equival,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,4.575835071029861E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
era,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.5763179977509026E-4,1.601256356648065E-4,0.0013255237176667601,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
eric,5.853120760498941E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,2.2884893719397028E-5,0.0013255237176667601,1.3199716998067561E-6,0.0010190508007773508,5.354488560670639E-7,1.4396940937989497E-6,2.0747868420790814E-4
error,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,9.275404302930232E-5,3.4321622214847814E-5,0.0013255237176667601,1.3199716998067561E-6,0.0020375923307896955,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
erupt,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.153460384285534E-5,5.71950792057494E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
escal,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.06200244530201E-5,1.0294199318755255E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
escap,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.0305890282591406E-4,9.150526469210176E-5,0.0013255237176667601,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
especi,3.9022430801393234E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.843387153005486E-4,4.57480576546527E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
essenti,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,0.003604406480004612,3.503755379445959E-4,4.460438480510762E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
est,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.664529695503574E-4,0.0012022695389818782,6.183946363946708E-5,1.1448165223946239E-5,6.624306435116243E-7,1.3199716998067561E-6,0.0010190508007773508,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
establish,9.759265595998983E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.664529695503574E-4,1.201068470511367E-6,5.461678740802191E-4,7.090886034464444E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
estat,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,9.275404302930232E-5,6.86318077012002E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
estim,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.7519292140219628E-4,1.0294199318755255E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.359843049231309E-4,1.4396940937989497E-6,2.0727141279511305E-7
et,2.4390848198696112E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,6.183946363946708E-5,3.4321622214847814E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
etc,3.4145236600494197E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,3.812901173344312E-4,2.744929206193144E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
ethnic,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,6.183946363946708E-5,1.486889071693557E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
eu,2.9268042399595154E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,3.2976581835137244E-4,5.032274905283302E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
eur,2.9268042399595154E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,3.092488424963185E-5,1.1448165223946239E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,4.147500970030212E-4
euro,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,8.244918323269057E-5,1.601256356648065E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
europ,2.9268042399595154E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.6372899570732513E-4,7.548355174282476E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
european,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.4311927611410165E-4,0.0010865006437963205,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0747868420790814E-4
evalu,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.12297440462436E-5,9.150526469210176E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
evangel,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.0305890282591406E-4,1.1436728495450789E-8,0.0013255237176667601,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
eve,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,7.325398522180471E-4,1.201068470511367E-6,8.244918323269057E-5,4.575835071029861E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
even,0.002194786162346578,6.572063996130369E-7,0.0019359669966485806,2.490292838515467E-7,7.325398522180471E-4,1.201068470511367E-6,0.0026071398334025684,0.0022416102218368503,6.624306435116243E-7,1.3199716998067561E-6,0.0010190508007773508,0.002142330873124323,1.4396940937989497E-6,2.0727141279511305E-7
event,0.0013168912061847504,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,7.325398522180471E-4,1.201068470511367E-6,6.595213318429483E-4,6.404682324737396E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,4.147500970030212E-4
eventu,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.3702208018186677E-4,2.0587254964660968E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
ever,2.4390848198696112E-4,0.003943895604077834,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.049484348937721E-4,3.431132915920191E-4,6.624306435116243E-7,0.003961235071120075,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
everi,3.4145236600494197E-4,0.0032866892044647973,9.674997484500652E-7,2.490292838515467E-7,7.325398522180471E-4,1.201068470511367E-6,8.140942287921245E-4,8.577660738873047E-4,6.624306435116243E-7,1.3199716998067561E-6,0.0010190508007773508,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
everybodi,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,6.86318077012002E-5,6.624306435116243E-7,1.3199716998067561E-6,0.0010190508007773508,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
everyday,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,4.575835071029861E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
everyon,9.754876121218176E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.885463791649255E-4,3.0880310610566675E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,0.0010714331609901948,1.4396940937989497E-6,2.0727141279511305E-7
everyth,5.365401340409037E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,3.606803977412077E-4,3.431132915920191E-4,0.002650385004690009,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
everywher,1.951365399779707E-4,6.578636060126497E-4,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,1.1437872168300334E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
evid,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.9885123896153723E-4,5.604111330055841E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.359843049231309E-4,1.4396940937989497E-6,2.0727141279511305E-7
evil,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.133637626225258E-4,2.2884893719397028E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
evolv,4.882071395099941E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,6.183946363946708E-5,1.7156236416025728E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
exactli,1.951365399779707E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.545832018089728E-4,1.601256356648065E-4,6.624306435116243E-7,0.002641263371313319,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
examin,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.545832018089728E-4,1.1436728495450789E-8,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
exampl,1.4636459796898025E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.255581544869955E-4,5.832845899964857E-4,0.0013255237176667601,1.3199716998067561E-6,0.0010190508007773508,5.354488560670639E-7,0.004320521975490647,2.0727141279511305E-7
excel,2.4873690424585115E-4,6.572063996130369E-5,9.674997484500654E-5,2.4902928385154668E-5,3.6608688266768976E-5,1.201068470511367E-4,1.8651796231867261E-4,1.143672849545079E-6,6.624306435116243E-5,1.3199716998067563E-4,5.092707650061724E-5,5.354488560670639E-5,1.4396940937989498E-4,2.0727141279511307E-5
except,2.9268042399595154E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.1641236058864328E-4,1.829990926557081E-4,0.0013255237176667601,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
exchang,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.885463791649255E-4,2.9736637761021596E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,4.147500970030212E-4
excit,7.316279020768653E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,1.1436728495450789E-8,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
exclud,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,7.325398522180471E-4,1.201068470511367E-6,1.0304859796611746E-8,9.150526469210176E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
exclus,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,7.325398522180471E-4,1.201068470511367E-6,1.2366862241913756E-4,1.1437872168300334E-4,0.0013255237176667601,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
excus,1.951365399779707E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.12297440462436E-5,1.486889071693557E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
execut,4.882071395099941E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,0.005125582444230324,1.201068470511367E-6,5.976921730632778E-4,3.545500200874699E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,0.0010714331609901948,1.4396940937989497E-6,2.0727141279511305E-7
exempt,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.12297440462436E-5,5.71950792057494E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,0.0010714331609901948,1.4396940937989497E-6,2.0727141279511305E-7
exercis,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.0305890282591406E-4,2.4018273513296204E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,0.0010714331609901948,1.4396940937989497E-6,2.0727141279511305E-7
exhibit,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,8.244918323269057E-5,8.006853619665098E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
exist,4.882071395099941E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.2671722038525503E-4,4.803540335374286E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
exit,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,5.71950792057494E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
expand,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,0.003604406480004612,2.1641236058864328E-4,3.3167656309656833E-4,0.005300107578736506,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,0.004320521975490647,2.0727141279511305E-7
expans,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.339734822157493E-4,1.601256356648065E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0747868420790814E-4
expect,3.9022430801393234E-4,0.0019722764052387235,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.831796494022893E-4,8.234558884009524E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,0.006961370577727897,1.4396940937989497E-6,0.0016583785737736994
expens,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,9.275404302930232E-5,9.150526469210176E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
experi,9.759265595998983E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,6.079970328598896E-4,4.2317039106017464E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0747868420790814E-4
experienc,4.8771942008990424E-8,0.0013150700056256865,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,6.183946363946708E-5,1.1437872168300334E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
expert,4.882071395099941E-5,6.578636060126497E-4,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.885463791649255E-4,4.460438480510762E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
expertis,4.882071395099941E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,6.86318077012002E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
expir,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.153460384285534E-5,1.1437872168300334E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
explain,2.9268042399595154E-4,6.572063996130369E-7,0.0019359669966485806,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.873873132666661E-4,2.859296491147652E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
explan,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.12297440462436E-5,9.150526469210176E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
explicitli,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,8.244918323269057E-5,4.575835071029861E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
explod,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.12297440462436E-5,8.006853619665098E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
exploit,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.153460384285534E-5,1.486889071693557E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
explor,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.0305890282591406E-4,8.006853619665098E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
explos,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,9.275404302930232E-5,6.86318077012002E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
expo,2.9268042399595154E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.153460384285534E-5,1.1448165223946239E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0747868420790814E-4
export,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.12297440462436E-5,1.829990926557081E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
expos,4.882071395099941E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.339734822157493E-4,1.0294199318755255E-4,6.624306435116243E-7,1.3199716998067561E-6,5.097800357711785E-4,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
express,1.951365399779707E-4,6.578636060126497E-4,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,3.709852575378194E-4,5.489744045101333E-4,0.0013255237176667601,1.3199716998067561E-6,5.097800357711785E-4,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
extend,4.8771942008990424E-8,6.578636060126497E-4,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.67936659571702E-4,8.006853619665098E-5,0.0013255237176667601,1.3199716998067561E-6,5.097800357711785E-4,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
extens,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.7519292140219628E-4,1.7156236416025728E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,0.0010714331609901948,1.4396940937989497E-6,2.0727141279511305E-7
extent,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.2366862241913756E-4,1.2581545017845413E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.359843049231309E-4,1.4396940937989497E-6,2.0727141279511305E-7
extern,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.0315164656408356E-5,1.2581545017845413E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0747868420790814E-4
extraordinari,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.0304859796611746E-8,1.3725217867390492E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
extrem,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.328144163174899E-4,2.859296491147652E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
extremist,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,9.275404302930232E-5,4.0029693406927306E-4,6.624306435116243E-7,0.002641263371313319,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
eye,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.664529695503574E-4,1.201068470511367E-6,2.5763179977509026E-4,2.0587254964660968E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
f,2.9268042399595154E-4,6.572063996130369E-7,0.0067734657388989076,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.12297440462436E-5,5.71950792057494E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
face,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,0.0014647136175534269,1.201068470511367E-6,7.419602102158423E-4,0.0010750639153008696,6.624306435116243E-7,0.002641263371313319,5.092707650061723E-7,0.0026777797291913864,1.4396940937989497E-6,2.0727141279511305E-7
