S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,
thought (0.002),glad (0.000),warn (0.004),unfortun (0.000),major (0.002),donor (0.004),case (0.003),york (0.002),offic (0.002),behind (0.003),unit (0.005),beat (0.003),seat (0.003),larri (0.005),
updat (0.002),good (0.000),watch (0.004),upset (0.000),come (0.002),financ (0.004),commun (0.003),drive (0.002),today (0.002),decemb (0.003),women (0.005),budget (0.003),three (0.003),latest (0.005),
afternoon (0.002),great (0.000),written (0.004),wast (0.000),mr (0.002),institut (0.004),content (0.003),gener (0.002),econom (0.002),dem (0.003),work (0.005),camp (0.003),deputi (0.003),less (0.005),
sullivan (0.002),happi (0.000),accept (0.002),worst (0.000),voter (0.002),issu (0.004),copi (0.003),marshal (0.002),nuclear (0.002),demonstr (0.003),york (0.005),cash (0.003),expect (0.003),lew (0.005),
fax (0.002),hate (0.000),advoc (0.002),worth (0.000),week (0.002),million (0.004),deliveri (0.003),member (0.002),power (0.002),economi (0.003),worst (0.003),connect (0.003),former (0.003),life (0.005),
messag (0.002),mess (0.000),agenc (0.002),wrong (0.000),great (0.002),multilater (0.004),describ (0.003),minut (0.002),chang (0.002),est (0.003),abl (0.003),corpor (0.003),guardian (0.003),live (0.005),
happi (0.002),neg (0.000),although (0.002),abandon (0.000),candid (0.002),opportun (0.004),desir (0.003),mtg (0.002),continu (0.002),follow (0.003),among (0.003),credit (0.003),held (0.003),manag (0.005),
even (0.002),nice (0.000),assign (0.002),abba (0.000),thing (0.002),raj (0.004),develop (0.003),op (0.002),pakistan (0.002),last (0.003),audienc (0.003),detaine (0.003),mp (0.003),match (0.005),
hear (0.002),perfect (0.000),beat (0.002),abc (0.000),may (0.002),research (0.004),disclos (0.003),array (0.001),diplomat (0.002),man (0.003),averag (0.003),direct (0.003),polit (0.003),morn (0.005),
presid (0.002),poor (0.000),beaten (0.002),abedin (0.000),washington (0.002),stabil (0.004),discuss (0.003),auditorium (0.001),provid (0.002),men (0.003),back (0.003),dollar (0.003),sid (0.003),new (0.005),
right (0.002),posit (0.000),bill (0.002),abil (0.000),david (0.002),strengthen (0.004),distribut (0.003),blair (0.001),build (0.002),polit (0.003),banker (0.003),ever (0.003),state (0.003),offici (0.005),
dinner (0.002),problem (0.000),chicago (0.002),abl (0.000),look (0.002),access (0.003),everyon (0.003),breakfast (0.001),know (0.002),rep (0.003),beat (0.003),figur (0.003),announc (0.002),pennsylvania (0.005),
check (0.002),recommend (0.000),child (0.002),abort (0.000),run (0.002),bill (0.003),express (0.003),georg (0.001),get (0.002),republican (0.003),big (0.003),get (0.003),back (0.002),player (0.005),
confirm (0.002),regret (0.000),children (0.002),abraham (0.000),compani (0.002),born (0.003),fein (0.003),hunger (0.001),come (0.002),return (0.003),bin (0.003),healthcar (0.003),call (0.002),post (0.005),
soon (0.002),satisfi (0.000),christian (0.002),abroad (0.000),made (0.002),challeng (0.003),first (0.003),institut (0.001),commun (0.002),review (0.003),blow (0.003),increas (0.003),clinton (0.002),presidenti (0.005),
still (0.002),sorri (0.000),clinton (0.002),absenc (0.000),staff (0.002),contribut (0.003),fit (0.003),kennedi (0.001),iraq (0.002),riot (0.003),carri (0.003),introduc (0.003),crimin (0.002),reach (0.005),
thing (0.002),terribl (0.000),come (0.002),absolut (0.000),congress (0.002),creation (0.003),flood (0.003),lew (0.001),america (0.002),stabil (0.003),cheney (0.003),karl (0.003),devolv (0.002),risk (0.005),
jim (0.002),thank (0.000),comput (0.002),abu (0.000),reform (0.002),deliv (0.003),friday (0.003),make (0.001),diplomaci (0.002),threaten (0.003),child (0.003),know (0.003),end (0.002),score (0.005),
mtg (0.002),troubl (0.000),contain (0.002),abus (0.000),sinc (0.002),director (0.003),global (0.003),ny (0.001),netanyahu (0.002),treasuri (0.003),china (0.003),let (0.003),meet (0.002),secur (0.005),
new (0.002),unaccept (0.000),could (0.002),academ (0.000),power (0.002),dissid (0.003),grate (0.003),opportun (0.001),respons (0.002),urgent (0.003),choic (0.003),mani (0.003),share (0.002),shape (0.005),
washington (0.002),unfortun (0.000),dem (0.002),academi (0.000),meet (0.002),economi (0.003),idea (0.003),pat (0.001),washington (0.002),window (0.003),cite (0.003),men (0.003),suggest (0.002),son (0.005),
