S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,
0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.058823529411764705,0.058823529411764705,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,
0.017543859649122806,0.017543859649122806,0.017543859649122806,0.894736842105263,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,
0.058823529411764705,0.0028011204481792717,0.0028011204481792717,0.8151260504201681,0.0028011204481792717,0.0028011204481792717,0.11484593837535012,0.9831932773109243,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,
0.014925373134328358,0.014925373134328358,0.16417910447761194,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.7611940298507462,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,
0.12643678160919541,0.01149425287356322,0.01149425287356322,0.5862068965517242,0.01149425287356322,0.01149425287356322,0.24137931034482762,0.8378378378378378,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,
0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.037037037037037035,0.037037037037037035,0.7777777777777778,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,
0.0017953321364452424,0.05565529622980251,0.0017953321364452424,0.5044883303411131,0.0017953321364452424,0.0017953321364452424,0.43267504488330344,0.8980891719745223,0.006369426751592357,0.07006369426751594,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.006369426751592357,
0.0033670033670033673,0.0033670033670033673,0.0033670033670033673,0.9797979797979799,0.0033670033670033673,0.0033670033670033673,0.0033670033670033673,0.9271708683473389,0.0028011204481792717,0.058823529411764705,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,
0.005988023952095809,0.005988023952095809,0.005988023952095809,0.9640718562874253,0.005988023952095809,0.005988023952095809,0.005988023952095809,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.7777777777777778,
0.014925373134328358,0.014925373134328358,0.014925373134328358,0.9104477611940298,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,
0.0016474464579901153,0.0016474464579901153,0.0016474464579901153,0.2981878088962109,0.0016474464579901153,0.0016474464579901153,0.6935749588138386,0.9104477611940298,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,
